S	BETX	BETY	DX	DPX	ALFX	ALFY	MUX	MUY
-6.46	28.39925003	12.8678627	-0.006917439	1.65E-04	4.926742554	0.567641974	-0.212725906	-0.122943376
-6.45	28.29009056	12.85872078	-0.006914805	1.30E-04	4.750881195	0.653311968	-0.212669639	-0.122819875
-6.44	28.1834259	12.84867001	-0.00691241	9.75E-05	4.5903368	0.731100678	-0.212613134	-0.122696136
-6.43	28.07950592	12.83764648	-0.006910272	6.87E-05	4.446396351	0.800348699	-0.212556152	-0.122572397
-6.42	27.9784832	12.82557678	-0.006908409	4.37E-05	4.320150375	0.860492826	-0.212499647	-0.122448359
-6.41	27.88049698	12.81238747	-0.006906837	2.25E-05	4.212726116	0.910953164	-0.212442426	-0.122324203
-6.4	27.78580093	12.79801464	-0.006905578	5.55E-06	4.125362873	0.951093793	-0.212385206	-0.122199868
-6.39	27.69448471	12.78238678	-0.006904646	-7.01E-06	4.059003353	0.980427384	-0.21232727	-0.122075294
-6.38	27.60643387	12.76558685	-0.00690402	-1.54E-05	4.012555599	0.999518395	-0.212270049	-0.121950601
-6.37	27.52116013	12.74776649	-0.006903663	-2.02E-05	3.983278036	1.00977385	-0.212212114	-0.121825848
-6.36	27.43830681	12.729105	-0.00690353	-2.19E-05	3.968451977	1.012596488	-0.212154655	-0.121700738
-6.35	27.3573761	12.70975399	-0.006903579	-2.13E-05	3.96532321	1.009399414	-0.212096481	-0.121575509
-6.34	27.27800369	12.68989563	-0.006903766	-1.87E-05	3.971151829	1.001595736	-0.212038068	-0.12145016
-6.33	27.19972801	12.66969204	-0.00690405	-1.48E-05	3.983194351	0.990595102	-0.211979894	-0.121324693
-6.32	27.1220932	12.64929771	-0.006904388	-1.02E-05	3.998716354	0.977802753	-0.211921243	-0.121198867
-6.31	27.04473877	12.62889671	-0.006904737	-5.49E-06	4.014964581	0.964638829	-0.211862592	-0.121073101
-6.3	26.96716118	12.60864162	-0.006905056	-1.16E-06	4.029208183	0.952504337	-0.211803703	-0.120946859
-6.29	26.88902664	12.58870506	-0.006905302	2.19E-06	4.038832188	0.942748189	-0.211744575	-0.120820497
-6.28	26.81016159	12.56911373	-0.006905466	4.44E-06	4.043151856	0.935719252	-0.211685447	-0.120694075
-6.27	26.73073196	12.54983902	-0.006905559	5.72E-06	4.042865753	0.931061447	-0.211625604	-0.120567416
-6.26	26.65080071	12.53082275	-0.006905591	6.19E-06	4.038709641	0.928393245	-0.211566238	-0.120440458
-6.25	26.57053375	12.51203537	-0.006905575	6.01E-06	4.031420231	0.9273386	-0.211506156	-0.120313381
-6.24	26.49002457	12.49342346	-0.006905521	5.32E-06	4.021731854	0.927518487	-0.211446075	-0.120186005
-6.23	26.40935135	12.47493649	-0.006905442	4.29E-06	4.010373592	0.928555369	-0.211385993	-0.12005863
-6.22	26.32868958	12.45654202	-0.006905349	3.06E-06	3.998088837	0.930070758	-0.211325912	-0.119930957
-6.21	26.24810028	12.43818283	-0.006905251	1.79E-06	3.985603094	0.931687594	-0.211264877	-0.119803105
-6.2	26.1677475	12.41982937	-0.006905163	6.28E-07	3.973660469	0.933026791	-0.211204557	-0.119675074
-6.19	26.08769035	12.4014225	-0.006905094	-2.73E-07	3.962950707	0.933730364	-0.211143522	-0.119546746
-6.18	26.00800896	12.38296509	-0.006905047	-8.75E-07	3.953666449	0.933701932	-0.211082486	-0.119418357
-6.17	25.928648	12.36446571	-0.006905019	-1.22E-06	3.945615292	0.933039069	-0.211021451	-0.11928973
-6.16	25.84954643	12.34592342	-0.006905008	-1.34E-06	3.938598156	0.931842327	-0.210959463	-0.119160865
-6.15	25.77073479	12.32736874	-0.006905009	-1.30E-06	3.932424069	0.930213869	-0.210897712	-0.119032
